Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Num5, Powerball, Power Play
Powerball,4,2,2011,43,22,34,6,45,23,2
Powerball,4,6,2011,56,18,55,10,41,15,2
Powerball,4,9,2011,53,5,56,14,32,11,4
Powerball,4,13,2011,4,49,39,50,23,39,3
Powerball,4,16,2011,21,55,33,45,44,7,5
Powerball,4,20,2011,9,24,43,34,36,27,3
Powerball,4,23,2011,58,11,3,48,47,19,3
Powerball,4,27,2011,40,44,55,24,4,5,2
Powerball,4,30,2011,41,15,6,13,32,3,2
Powerball,5,4,2011,15,41,29,27,3,24,4
Powerball,5,7,2011,11,55,47,2,27,15,4
Powerball,5,11,2011,43,32,9,45,17,31,3
Powerball,5,14,2011,40,18,17,8,44,16,2
Powerball,5,18,2011,7,12,42,49,13,16,4
Powerball,5,21,2011,8,49,2,40,50,36,3
Powerball,5,25,2011,50,4,31,42,23,23,2
Powerball,5,28,2011,43,12,20,51,55,11,4
Powerball,6,1,2011,56,38,46,8,18,31,4
Powerball,6,4,2011,17,58,39,19,41,21,5
Powerball,6,8,2011,53,37,14,44,45,29,5
Powerball,6,11,2011,50,16,18,36,27,8,3
Powerball,6,15,2011,41,43,20,19,38,29,4
Powerball,6,18,2011,22,38,21,12,41,18,2
Powerball,6,22,2011,59,12,46,19,15,12,4
Powerball,6,25,2011,18,39,57,36,41,12,4
Powerball,6,29,2011,30,24,57,59,45,26,3
Powerball,7,2,2011,11,29,1,51,18,32,3
Powerball,7,6,2011,55,50,24,11,15,8,2
Powerball,7,9,2011,31,9,23,1,11,6,3
Powerball,7,13,2011,54,18,8,19,32,8,4
Powerball,7,16,2011,28,48,54,24,50,25,3
Powerball,7,20,2011,40,42,38,1,4,17,4
Powerball,7,23,2011,38,1,48,27,7,30,3
Powerball,7,27,2011,40,51,59,41,38,33,2
Powerball,7,30,2011,55,20,40,47,41,19,2
Powerball,8,3,2011,49,19,13,28,21,11,2
Powerball,8,6,2011,57,59,54,25,30,6,3
Powerball,8,10,2011,46,41,36,18,11,38,4
Powerball,8,13,2011,35,9,50,12,58,4,2
Powerball,8,17,2011,31,28,48,18,52,37,4
Powerball,8,20,2011,23,2,47,28,17,36,2
Powerball,8,24,2011,49,53,13,9,47,39,5
Powerball,8,27,2011,2,54,12,58,25,14,3
Powerball,8,31,2011,19,35,57,47,13,29,5
Powerball,9,3,2011,15,52,25,53,54,2,5
Powerball,9,7,2011,54,3,5,27,18,13,4
Powerball,9,10,2011,32,53,22,4,19,24,4
Powerball,9,14,2011,16,50,42,59,41,5,3
Powerball,9,17,2011,43,22,6,20,32,11,2
Powerball,9,21,2011,47,52,55,48,12,13,4
Powerball,9,24,2011,27,12,3,4,44,26,5
Powerball,9,28,2011,41,51,30,50,53,8,2
Powerball,10,1,2011,27,43,12,23,1,31,3
Powerball,10,5,2011,46,7,43,54,20,17,4
Powerball,10,8,2011,35,3,37,27,45,31,5
Powerball,10,12,2011,43,10,12,23,47,18,3
Powerball,10,15,2011,38,24,5,10,43,1,4
Powerball,10,19,2011,26,35,16,52,58,2,5
Powerball,10,22,2011,8,3,23,30,58,13,4
Powerball,10,26,2011,39,21,1,18,55,6,3
Powerball,10,29,2011,11,40,16,51,56,38,5
Powerball,11,2,2011,12,39,14,46,34,36,4
Powerball,11,5,2011,43,39,2,33,40,26,3
Powerball,11,9,2011,58,59,35,5,57,12,3
Powerball,11,12,2011,56,4,35,51,36,8,5
Powerball,11,16,2011,22,25,39,13,51,28,2
Powerball,11,19,2011,16,9,17,28,30,11,3
Powerball,11,23,2011,30,35,57,4,59,25,2
Powerball,11,26,2011,55,20,37,45,39,28,2
Powerball,11,30,2011,47,6,2,34,35,22,2
Powerball,12,3,2011,18,5,33,43,45,8,3
Powerball,12,7,2011,39,20,14,40,3,37,2
Powerball,12,10,2011,33,41,4,19,59,9,5
Powerball,12,14,2011,46,52,24,56,2,19,5
Powerball,12,17,2011,59,28,51,13,49,33,4
Powerball,12,21,2011,31,15,13,54,10,18,5
Powerball,12,24,2011,52,51,16,14,30,19,2
Powerball,12,28,2011,16,27,45,41,21,14,2
Powerball,12,31,2011,5,25,40,23,28,34,4
Powerball,1,4,2012,50,35,21,47,46,2,4
Powerball,1,7,2012,3,24,38,21,39,24,5
Powerball,1,11,2012,47,5,29,45,19,25,2
Powerball,1,14,2012,41,30,10,36,38,1,5
Powerball,1,18,2012,50,34,29,6,44,28
Powerball,1,21,2012,44,12,43,24,45,7
Powerball,1,25,2012,28,19,29,47,4,5
Powerball,1,28,2012,41,54,59,33,5,13
Powerball,2,1,2012,8,13,59,17,34,35
Powerball,2,4,2012,23,56,43,45,15,7
Powerball,2,8,2012,38,51,17,28,39,33
Powerball,2,11,2012,37,52,10,1,57,11
Powerball,2,15,2012,12,11,32,56,52,11
Powerball,2,18,2012,23,50,28,59,56,5
Powerball,2,22,2012,17,39,16,7,51,32
Powerball,2,25,2012,54,11,6,42,53,7
Powerball,2,29,2012,26,1,11,4,23,14
Powerball,3,3,2012,47,30,29,49,45,35
Powerball,3,7,2012,45,35,47,46,12,12
