iter	RMSE
180	7.890194751
181	7.874342475
182	7.862916846
183	7.852434038
184	7.839829741
185	7.828777492
186	7.819810695
187	7.80829592
188	7.793407111
189	7.782127298
190	7.767392821
191	7.756816799
192	7.745647017
193	7.736268072
194	7.722198389
195	7.710726792
196	7.703358662
197	7.691614974
198	7.673975831
199	7.660205114
200	7.648832835
201	7.636586509
202	7.621981808
203	7.604016816
204	7.588649429
205	7.578017323
206	7.56511743
207	7.549887626
208	7.537866404
209	7.521316846
210	7.509599455
211	7.496130446
212	7.481817297
213	7.465271563
214	7.447382266
215	7.437146538
216	7.424700267
217	7.413690584
218	7.399938832
219	7.383081831
220	7.370118211
221	7.354858521
222	7.342566756
223	7.326876178
224	7.311486752
225	7.295856812
226	7.284651995
227	7.273898062
228	7.261868553
229	7.243583641
230	7.231534114
231	7.218705282
232	7.207870648
233	7.19483991
234	7.177905941
235	7.165592508
236	7.155797671
237	7.142143157
238	7.12361087
239	7.110268562
240	7.095318219
241	7.081655473
242	7.063431144
243	7.05018852
244	7.038744935
245	7.027471322
246	7.012747413
247	7.00041638
248	6.989223727
249	6.977322187
250	6.964646539
251	6.949075132
252	6.935730723
253	6.92588314
254	6.909036871
255	6.893524929
256	6.883369088
257	6.869518873
258	6.859853851
259	6.84784565
260	6.833798228
261	6.822343434
262	6.809107203
263	6.794844511
264	6.778444209
265	6.769379183
266	6.756197324
267	6.74225825
268	6.7327311
269	6.724970008
270	6.712421891
271	6.698366616
272	6.681431315
273	6.670392572
274	6.657770613
275	6.642945572
276	6.628887916
277	6.618088667
278	6.606191971
279	6.596669899
280	6.585302964
281	6.573246461
282	6.562046334
283	6.550400615
284	6.531375256
285	6.5209036
286	6.507714712
287	6.489197015
288	6.477394486
289	6.466631605
290	6.456299538
291	6.444096913
292	6.434686728
293	6.421339773
294	6.409638354
295	6.396828123
296	6.385775487
297	6.375983113
298	6.365656551
299	6.351869369
300	6.337100231
301	6.323512175
302	6.313827475
303	6.301358594
304	6.291103877
305	6.281859657
306	6.274094264
307	6.265261803
308	6.253935071
309	6.243919014
310	6.229640444
311	6.220911201
312	6.208847466
313	6.197697641
314	6.184834491
315	6.173195411
316	6.163438705
317	6.156818847
318	6.147605471
319	6.140047141
320	6.12864914
321	6.116679976
322	6.10396632
323	6.090510622
324	6.07868762
325	6.06796188
326	6.056556284
327	6.043949676
328	6.034179981
329	6.022420876
330	6.011483747
331	6.001101453
332	5.991869387
333	5.978495867
334	5.969070806
335	5.957450715
336	5.943959061
337	5.933416528
338	5.919824829
339	5.908798436
340	5.897202587
341	5.88650721
342	5.875021226
343	5.860662925
344	5.849679505
345	5.839899482
346	5.829423984
347	5.818518209
348	5.806946513
349	5.791708901
350	5.782207389
351	5.771975065
352	5.763927062
353	5.753497343
354	5.741002425
355	5.726706481
356	5.709818064
357	5.701319189
358	5.691144608
359	5.681803956
360	5.675249315
361	5.663796387
362	5.651745362
363	5.640121099
364	5.631143284
365	5.618266539
366	5.608081197
367	5.59811637
368	5.588650412
369	5.579636358
370	5.565181854
371	5.552486519
372	5.541952932
373	5.532903017
374	5.523342581
375	5.512408
376	5.499930475
377	5.490610288
378	5.478667086
379	5.468395647
380	5.460241113
381	5.453667615
382	5.444855776
383	5.43672878
384	5.427437108
385	5.415283078
386	5.407065189
387	5.397800581
388	5.389999918
389	5.378712269
390	5.367441765
391	5.358524551
392	5.347433284
393	5.339846931
394	5.327701218
395	5.31624014
396	5.307270876
397	5.297769475
398	5.287036111
399	5.275032608
400	5.267031858
401	5.256622014
402	5.245051637
403	5.23636347
404	5.229460491
405	5.221303533
406	5.214631989
407	5.203573008
408	5.192877669
409	5.183155792
410	5.175569447
411	5.16561005
412	5.155379741
413	5.146306705
414	5.136950963
415	5.129846684
416	5.121729403
417	5.113879304
418	5.103771267
419	5.093027146
420	5.081437895
421	5.073249926
422	5.06228432
423	5.050895095
424	5.038942266
425	5.032279383
426	5.021044514
427	5.013282443
428	5.003873567
429	4.997050162
430	4.98764902
431	4.979217008
432	4.97194271
433	4.96301406
434	4.952599525
435	4.94290615
436	4.932567891
437	4.925631917
438	4.912900136
439	4.904447991
440	4.893430139
441	4.884342812
442	4.878609591
443	4.869918291
444	4.86308664
445	4.85658397
446	4.845149063
447	4.834671891
448	4.825410777
449	4.81578569
450	4.808789418
451	4.796815118
452	4.790717842
453	4.784038454
454	4.774071626
455	4.764738063
456	4.758100086
457	4.747860942
458	4.739652924
459	4.733507079
460	4.726412746
461	4.717207194
462	4.707756558
463	4.700891041
464	4.694268174
465	4.686821129
466	4.679387537
467	4.673154451
468	4.664751167
469	4.657005028
470	4.649450935
471	4.636087231
472	4.628922946
473	4.621540579
474	4.613819392
475	4.604499807
476	4.596721313
477	4.587515768
478	4.579960238
479	4.569357842
480	4.558233087
481	4.550814365
482	4.542839755
483	4.531634974
484	4.522790815
485	4.514837442
486	4.509167955
487	4.498921645
488	4.492406462
489	4.485292049
490	4.476484481
491	4.468319516
492	4.460824409
493	4.451347888
494	4.442037076
495	4.435147758
496	4.430014908
497	4.421707185
498	4.412743504
499	4.40702715
500	4.397993402
501	4.392237058
502	4.383797366
503	4.377224165
504	4.369979918
505	4.360524553
506	4.354692005
507	4.348452345
508	4.338402882
509	4.329744008
510	4.320827164
511	4.312610876
512	4.304035004
513	4.297250646
514	4.287371866
515	4.279822973
516	4.271342816
517	4.265055508
518	4.256772379
519	4.250907079
520	4.24195307
521	4.234126954
522	4.228244192
523	4.219872039
524	4.212245879
525	4.204472819
526	4.197828326
527	4.187577009
528	4.181472022
529	4.173175089
530	4.165808568
531	4.157196047
532	4.149407872
533	4.143334598
534	4.133984415
535	4.126041474
536	4.11764547
537	4.110408069
538	4.104005588
539	4.09692614
540	4.086025751
541	4.081031799
542	4.073955419
543	4.062754463
544	4.055335967
545	4.045729149
546	4.041054699
547	4.033575419
548	4.028038613
549	4.02107424
550	4.012658116
551	4.007718289
552	4.000117013
553	3.992508496
554	3.986209307
555	3.979757837
556	3.971885536
557	3.964465338
558	3.955271662
559	3.949518228
560	3.942421038
561	3.937819026
562	3.931488661
563	3.923948425
564	3.916297048
565	3.910422159
566	3.905532872
567	3.897481672
568	3.893415045
569	3.88554888
570	3.879999185
571	3.872669945
572	3.866931347
573	3.862418663
574	3.856828757
575	3.851151385
576	3.845110425
577	3.837744837
578	3.83109302
579	3.826375301
580	3.81875192
581	3.813662537
582	3.806240577
583	3.80078532
584	3.794381683
585	3.786141409
586	3.779123064
587	3.771857611
588	3.761936566
589	3.75637674
590	3.75010528
591	3.746332454
592	3.741134595
593	3.735780698
594	3.729777508
595	3.720941485
596	3.714707223
597	3.708709686
598	3.702375304
599	3.696217038
600	3.689056929
601	3.681290176
602	3.673794516
603	3.667617429
604	3.662135242
605	3.655613861
606	3.649134314
607	3.643347861
608	3.636494477
609	3.630054691
610	3.624842902
611	3.615920198
612	3.609612794
613	3.603563154
614	3.598722145
615	3.592521589
616	3.585686866
617	3.578039721
618	3.57240151
619	3.566631417
620	3.558240862
621	3.550727178
622	3.545547917
623	3.54009028
624	3.535482011
625	3.530127311
626	3.524556661
627	3.518419052
628	3.513596687
629	3.50917963
630	3.501545824
631	3.496838182
632	3.491789958
633	3.486702155
634	3.480936785
635	3.476707729
636	3.468091927
637	3.461857092
638	3.454999786
639	3.448265524
640	3.441532641
641	3.435028233
642	3.426738444
643	3.42198435
644	3.41598721
645	3.409804822
646	3.40235116
647	3.396021592
648	3.392919091
649	3.386396916
650	3.379684698
651	3.372962334
652	3.36630752
653	3.35832867
654	3.352075317
655	3.344986285
656	3.340101116
657	3.33291358
658	3.326885962
659	3.320441903
660	3.315208297
661	3.309490783
662	3.303779648
663	3.297864089
664	3.290697071
665	3.285446511
666	3.278093886
667	3.27220307
668	3.264013802
669	3.257067466
670	3.252719821
671	3.248113605
672	3.241106669
673	3.235247065
674	3.229641316
675	3.223301979
676	3.218170721
677	3.211823477
678	3.205406372
679	3.198043652
680	3.191558815
681	3.186905627
682	3.180914395
683	3.176778894
684	3.168449368
685	3.162935228
686	3.157937242
687	3.151597516
688	3.143772754
689	3.134991499
690	3.128154845
691	3.123163521
692	3.11694514
693	3.112939297
694	3.108225778
695	3.103463617
696	3.098565589
697	3.092850073
698	3.08804109
699	3.082457057
700	3.07752955
701	3.071990258
702	3.067673125
703	3.063018271
704	3.058103778
705	3.053636855
706	3.049448996
707	3.043155342
708	3.037072889
709	3.032738345
710	3.026977884
711	3.021842654
712	3.017437656
713	3.013016338
714	3.008549294
715	3.004758714
716	2.997972837
717	2.993102538
718	2.987625933
719	2.982467358
720	2.978535021
721	2.973958925
722	2.969265315
723	2.964168522
724	2.959041726
725	2.955198757
726	2.949611439
727	2.943510356
728	2.938886987
729	2.934824369
730	2.930263167
731	2.924339114
732	2.919588095
733	2.914658787
734	2.910333903
735	2.906877984
736	2.902524916
737	2.89793554
738	2.892531543
739	2.885458682
740	2.880585987
741	2.875496624
742	2.871343666
743	2.866571848
744	2.860600956
745	2.856363956
746	2.852761837
747	2.848224211
748	2.845235708
749	2.840245281
750	2.834472607
751	2.828833159
752	2.825213904
753	2.820641439
754	2.816857833
755	2.811737651
756	2.807923878
757	2.803810172
758	2.800007479
759	2.794315957
760	2.788089249
761	2.781160824
762	2.777464221
763	2.773829186
764	2.767860735
765	2.763079304
766	2.758634818
767	2.753942321
768	2.751236519
769	2.744995265
770	2.741252387
771	2.736453268
772	2.730230787
773	2.724877974
774	2.720826499
775	2.71434487
776	2.709838594
777	2.703208524
778	2.69950651
779	2.695871397
780	2.689962985
781	2.686070144
782	2.681483425
783	2.675053217
784	2.670594045
785	2.667109123
786	2.663260763
787	2.659167605
788	2.652954834
789	2.64843518
790	2.64366989
791	2.639312722
792	2.634095395
793	2.628713351
794	2.625479705
795	2.620927665
796	2.616070079
797	2.611353879
798	2.604564688
799	2.601391875
800	2.596760504
801	2.591503778
802	2.586251771
803	2.581615561
804	2.578022917
805	2.571178711
806	2.565492251
807	2.562009961
808	2.557860389
809	2.553044615
810	2.548665895
811	2.543178092
812	2.538879786
813	2.535534856
814	2.531815759
815	2.528065171
816	2.523947732
817	2.517997455
818	2.513756419
819	2.509583385
820	2.506543415
821	2.501884265
822	2.497244453
823	2.492901009
824	2.489423299
825	2.485313472
826	2.481519682
827	2.476084761
828	2.472554455
829	2.468494909
830	2.464601023
831	2.459904264
832	2.455061251
833	2.450228004
834	2.445646294
835	2.441264068
836	2.436187224
837	2.43311474
838	2.430380209
839	2.426314991
840	2.42358157
841	2.4189698
842	2.412704202
843	2.409165524
844	2.406678061
845	2.402953389
846	2.398765015
847	2.395844125
848	2.392133373
849	2.387431219
850	2.383632748
851	2.379176977
852	2.374346466
853	2.369749626
854	2.366804839
855	2.363454916
856	2.35927648
857	2.356238335
858	2.353487167
859	2.350504023
860	2.346589842
861	2.343935189
862	2.340931396
863	2.337382301
864	2.333504625
865	2.329425678
866	2.325047414
867	2.320652879
868	2.316406433
869	2.312361813
870	2.308970184
871	2.305035574
872	2.301580225
873	2.297406551
874	2.292960077
875	2.287951282
876	2.284316351
877	2.280205387
878	2.275843733
879	2.271131943
880	2.265565383
881	2.260747243
882	2.258393743
883	2.254962835
884	2.252039485
885	2.248869702
886	2.246031385
887	2.241214728
888	2.238013043
889	2.233711429
890	2.23051083
891	2.226408699
892	2.22277407
893	2.21851254
894	2.215066518
895	2.212503042
896	2.208348668
897	2.20424832
898	2.199465555
899	2.194401882
900	2.191015859
901	2.187589084
902	2.183393885
903	2.180019137
904	2.176460699
905	2.173741107
906	2.169746456
907	2.166002647
908	2.162826059
909	2.158853609
910	2.155362852
911	2.151615549
912	2.147120433
913	2.143467176
914	2.140601336
915	2.137508194
916	2.133898682
917	2.130806125
918	2.127878842
919	2.123495894
920	2.11960367
921	2.114705078
922	2.112336954
923	2.109178239
924	2.105853635
925	2.103249521
926	2.100899759
927	2.098295452
928	2.095176585
929	2.09202108
930	2.089919635
931	2.085778035
932	2.083353105
933	2.079421834
934	2.076084166
935	2.072116691
936	2.069212863
937	2.066302467
938	2.062843782
939	2.06046754
940	2.057476894
941	2.052699316
942	2.0487686
943	2.045292223
944	2.041108787
945	2.038279981
946	2.034204427
947	2.031617843
948	2.028153745
949	2.024926783
950	2.021067951
951	2.016943554
952	2.015042156
953	2.011641803
954	2.007709848
955	2.005126091
956	2.001740798
957	1.998195459
958	1.995234925
959	1.990971534
960	1.987956771
961	1.985095715
962	1.982205966
963	1.977395141
964	1.973949136
965	1.970604425
966	1.96788735
967	1.9642539
968	1.961746028
969	1.957604223
970	1.954898267
971	1.9519414
972	1.948359267
973	1.945086245
974	1.941623128
975	1.938501346
976	1.935072559
977	1.931558071
978	1.928409561
979	1.925516223
980	1.921546826
981	1.91875611
982	1.914692465
983	1.911177451
984	1.908698672
985	1.905567677
986	1.902353368
987	1.89900437
988	1.896188477
989	1.893858985
990	1.890092314
991	1.887409251
992	1.883520156
993	1.881611037
994	1.879376753
995	1.876039111
996	1.874397527
997	1.870707756
998	1.866440456
999	1.8634992
